,,,,,,,,,,
,Consumer prices of petroleum products net of duties and taxes,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
AT,,,,,,,,,,
,,,,,,,,,,
,Date,"ExchangeRateTo €",Euro-super 95  (I), Gas oil automobile Automotive gas oil Dieselkraftstoff (I), Gas oil de chauffage Heating gas oil Heizöl (II), Fuel oil - Schweres Heizöl (III) Soufre <= 1% Sulphur <= 1% Schwefel <= 1%,,,,
,,,1000L,1000L,1000L,t,,,,
,13/11/23,1.00000,753.86,928.78,855.17,606.28,,,,
,06/11/23,1.00000,769.69,958.78,893.26,631.28,,,,
,30/10/23,1.00000,770.53,957.12,901.59,644.28,,,,
,23/10/23,1.00000,783.86,967.12,914.94,644.28,,,,
,16/10/23,1.00000,794.69,971.28,910.89,644.28,,,,
,09/10/23,1.00000,822.19,990.45,897.4,644.28,,,,
,02/10/23,1.00000,846.36,"1,006.28",936.62,644.28,,,,
,25/09/23,1.00000,863.03,"1,007.95",926.39,644.28,,,,
,18/09/23,1.00000,868.03,"1,009.62",922.5,644.28,,,,
,11/09/23,1.00000,852.19,967.12,894.04,613.28,,,,
,04/09/23,1.00000,849.69,941.28,862.08,613.28,,,,
,28/08/23,1.00000,845.53,935.45,859.39,613.28,,,,
,21/08/23,1.00000,833.86,922.95,852.06,619.28,,,,
,14/08/23,1.00000,829.69,922.12,857.27,636.28,,,,
,07/08/23,1.00000,811.36,897.12,820.41,618.28,,,,
,31/07/23,1.00000,793.03,853.78,778.75,563.28,,,,
,24/07/23,1.00000,759.69,811.28,730.86,563.28,,,,
,17/07/23,1.00000,755.53,812.12,725.51,563.28,,,,
,10/07/23,1.00000,733.86,788.78,716.55,563.28,,,,
,03/07/23,1.00000,740.53,780.45,711.32,551.28,,,,
,26/06/23,1.00000,751.08,788.57,713.11,553.02,,,,
,19/06/23,1.00000,746.08,770.24,716.21,547.02,,,,
,12/06/23,1.00000,756.08,768.57,711.97,547.02,,,,
,05/06/23,1.00000,742.74,752.74,703.15,547.02,,,,
,29/05/23,1.00000,744.41,762.74,703.26,547.02,,,,
,22/05/23,1.00000,728.58,753.57,706.16,536.02,,,,
,15/05/23,1.00000,732.74,756.9,705.31,536.02,,,,
,08/05/23,1.00000,732.74,760.24,707.41,536.02,,,,
,01/05/23,1.00000,754.41,791.9,733.9,568.02,,,,
,24/04/23,1.00000,772.74,820.24,753.93,579.02,,,,
,17/04/23,1.00000,783.58,830.24,777.31,589.02,,,,
,10/04/23,1.00000,789.41,851.07,783.73,584.02,,,,
,03/04/23,1.00000,750.24,834.4,776.74,564.02,,,,
,27/03/23,1.00000,734.41,846.9,784.21,549.02,,,,
,20/03/23,1.00000,739.41,858.57,788.48,570.02,,,,
,13/03/23,1.00000,763.58,885.24,818.66,613.02,,,,
,06/03/23,1.00000,761.91,900.24,833.75,603.02,,,,
,27/02/23,1.00000,754.41,884.4,826.56,591.02,,,,
,20/02/23,1.00000,759.41,904.4,838.26,614.02,,,,
,13/02/23,1.00000,748.58,915.24,852.2,597.02,,,,
,06/02/23,1.00000,756.08,948.57,874.42,621.02,,,,
,30/01/23,1.00000,776.91,996.07,918.77,629.02,,,,
,23/01/23,1.00000,761.08,981.9,907.62,600.02,,,,
,16/01/23,1.00000,742.74,963.57,905.66,569.02,,,,
,09/01/23,1.00000,745.24,966.07,923.99,565.02,,,,
,02/01/23,1.00000,680.24,917.74,955.3,565.02,,,,
,26/12/22,1.00000,654.26,898.15,943.51,555.02,,,,
,19/12/22,1.00000,665.92,908.15,937.02,549.02,,,,
,12/12/22,1.00000,694.26,928.15,918.55,574.02,,,,
,05/12/22,1.00000,731.76,965.65,948.7,602.02,,,,
,28/11/22,1.00000,773.42,"1,008.99",986.83,602.02,,,,
,21/11/22,1.00000,830.92,"1,063.15","1,076.25",649.02,,,,
,14/11/22,1.00000,871.76,"1,133.99","1,076.25",711.02,,,,
,07/11/22,1.00000,889.26,"1,204.82","1,149.07",700.02,,,,
,31/10/22,1.00000,903.42,"1,221.49","1,188.75",617.6,,,,
,24/10/22,1.00000,912.59,"1,223.99","1,286.56",710,,,,
,17/10/22,1.00000,930.92,"1,226.49","1,319.29",739,,,,
,10/10/22,1.00000,909.26,"1,192.32","1,303.07",731,,,,
,03/10/22,1.00000,879.26,"1,148.99","1,284.9",719,,,,
,26/09/22,1.00000,909.86,"1,192.32","1,234.84",719,,,,
,19/09/22,1.00000,931.52,"1,205.65","1,204.91",719,,,,
,12/09/22,1.00000,969.86,"1,226.49","1,204.69",749,,,,
,05/09/22,1.00000,964.02,"1,178.15","1,199.15",748.3,,,,
,29/08/22,1.00000,975.69,"1,148.99","1,204.49",771,,,,
,22/08/22,1.00000,981.52,"1,093.99","1,161.79",753,,,,
,15/08/22,1.00000,978.19,"1,069.82","1,151.75",759,,,,
,08/08/22,1.00000,"1,060.69","1,149.82","1,166.69",771,,,,
,01/08/22,1.00000,"1,147.36","1,241.49","1,210.42",768,,,,
,25/07/22,1.00000,"1,174.02","1,269.82","1,215.17",763,,,,
,18/07/22,1.00000,"1,210.69","1,291.49","1,228.09",741,,,,
,11/07/22,1.00000,"1,260.69","1,338.15","1,176.37",750,,,,
,04/07/22,1.00000,"1,249.02","1,321.49","1,179.85",784,,,,
,27/06/22,1.00000,"1,262.4","1,327.37","1,203.8",779,,,,
,20/06/22,1.00000,"1,251.56","1,319.04","1,209.2",822,,,,
,13/06/22,1.00000,"1,217.4","1,280.7","1,195.65",795,,,,
,06/06/22,1.00000,"1,167.4","1,197.37","1,137.79",751,,,,
,30/05/22,1.00000,"1,032.4","1,116.54","1,031.84",727,,,,
,23/05/22,1.00000,"1,017.4","1,127.37","1,027.94",727,,,,
,16/05/22,1.00000,989.06,"1,143.2","1,052.78",707,,,,
,09/05/22,1.00000,973.23,"1,157.37","1,084.7",726,,,,
,02/05/22,1.00000,954.06,"1,144.04","1,051.72",713,,,,
,25/04/22,1.00000,943.23,"1,121.54","1,011.01",704,,,,
,11/04/22,1.00000,918.23,"1,092.37",998.09,708,,,,
,04/04/22,1.00000,940.73,"1,130.7","1,058.55",749,,,,
,28/03/22,1.00000,974.06,"1,176.54","1,185.58",765,,,,
,21/03/22,1.00000,959.06,"1,118.2","1,209.64",722,,,,
,14/03/22,1.00000,"1,166.56","1,280.7","1,371",807,,,,
,07/03/22,1.00000,919.9,"1,027.37","1,101.73",663,,,,
,28/02/22,1.00000,784.06,861.54,764.66,579,,,,
,21/02/22,1.00000,742.4,814.87,715.61,568,,,,
,14/02/22,1.00000,735.73,809.04,714.96,561,,,,
,07/02/22,1.00000,721.56,795.7,706.95,548,,,,
,31/01/22,1.00000,709.9,786.54,685.33,530,,,,
,24/01/22,1.00000,699.9,776.54,666.44,520,,,,
,17/01/22,1.00000,692.4,768.2,648.44,500,,,,
,10/01/22,1.00000,682.4,757.37,626.1,487,,,,
,03/01/22,1.00000,673.23,744.87,609.69,465,,,,
,20/12/21,1.00000,675.73,752.37,593.8,468,,,,
,13/12/21,1.00000,674.9,751.54,590.79,466,,,,
,06/12/21,1.00000,681.56,754.87,586.89,450,,,,
,29/11/21,1.00000,699.06,767.37,610.19,491,,,,
,22/11/21,1.00000,698.23,766.54,621.32,491,,,,
,15/11/21,1.00000,709.06,776.54,636.62,491,,,,
,08/11/21,1.00000,699.9,770.7,635.11,496,,,,
,01/11/21,1.00000,685.73,763.2,637.73,503,,,,
,25/10/21,1.00000,680.73,759.87,639.29,503,,,,
,18/10/21,1.00000,675.73,744.87,635.24,503,,,,
,11/10/21,1.00000,662.4,722.37,615.56,495,,,,
,04/10/21,1.00000,629.06,684.04,582.64,478,,,,
,27/09/21,1.00000,614.9,659.04,559.29,453,,,,
,20/09/21,1.00000,611.56,644.04,542.6,453,,,,
,13/09/21,1.00000,614.9,638.2,525.84,442,,,,
,06/09/21,1.00000,613.23,636.54,526.52,429,,,,
,30/08/21,1.00000,615.73,638.2,515.14,419,,,,
,23/08/21,1.00000,610.73,628.2,502.39,419,,,,
,16/08/21,1.00000,617.4,634.87,512.09,432,,,,
,09/08/21,1.00000,619.06,634.87,513.41,432,,,,
,02/08/21,1.00000,618.23,635.7,522.29,434,,,,
,26/07/21,1.00000,608.23,630.7,518.78,425,,,,
,19/07/21,1.00000,604.06,627.37,522.9,442,,,,
,12/07/21,1.00000,599.9,632.37,521.49,436,,,,
,05/07/21,1.00000,579.9,617.37,520.3,431,,,,
,28/06/21,1.00000,575.73,614.87,515.64,425,,,,
,21/06/21,1.00000,566.56,605.7,506.54,410,,,,
,14/06/21,1.00000,554.9,597.37,496.64,403,,,,
,07/06/21,1.00000,552.4,589.87,493.51,388,,,,
,31/05/21,1.00000,548.23,584.87,484.25,380,,,,
,24/05/21,1.00000,546.56,583.2,481.02,385,,,,
,17/05/21,1.00000,549.06,584.04,483.06,394,,,,
,10/05/21,1.00000,555.73,586.54,482.28,400,,,,
,03/05/21,1.00000,540.73,572.37,467.82,393,,,,
,26/04/21,1.00000,537.4,569.87,462.67,398,,,,
,19/04/21,1.00000,531.56,568.2,465.94,392,,,,
,12/04/21,1.00000,525.73,564.04,456.28,390,,,,
,29/03/21,1.00000,522.4,567.37,457.98,390,,,,
,22/03/21,1.00000,518.23,564.04,464.49,414,,,,
,15/03/21,1.00000,524.06,568.2,477.26,421,,,,
,08/03/21,1.00000,507.4,558.2,470.7,407,,,,
,01/03/21,1.00000,494.9,550.7,461.76,401,,,,
,22/02/21,1.00000,482.4,540.7,456.74,394,,,,
,15/02/21,1.00000,469.06,530.7,442.43,387,,,,
,08/02/21,1.00000,463.23,512.37,433.75,364,,,,
,01/02/21,1.00000,448.23,499.04,412.69,428.74,,,,
,25/01/21,1.00000,450.73,501.54,413.21,346,,,,
,18/01/21,1.00000,443.23,497.37,409.1,333,,,,
,11/01/21,1.00000,421.56,485.7,400.79,323,,,,
,21/12/20,1.00000,404.06,464.04,387.04,311,,,,
,14/12/20,1.00000,404.06,462.37,380.74,311,,,,
,07/12/20,1.00000,404.9,463.2,372.35,306,,,,
,30/11/20,1.00000,394.9,450.7,365.35,306,,,,
,23/11/20,1.00000,396.56,445.7,350.74,300,,,,
,16/11/20,1.00000,378.23,429.04,349,294,,,,
,09/11/20,1.00000,378.23,423.2,333.69,271,,,,
,02/11/20,1.00000,384.06,419.87,328.25,276,,,,
,26/10/20,1.00000,387.4,416.54,337.1,288,,,,
,19/10/20,1.00000,393.23,428.2,341.56,282,,,,
,12/10/20,1.00000,398.23,433.2,342.33,282,,,,
,05/10/20,1.00000,399.06,434.87,334.29,273,,,,
,28/09/20,1.00000,396.56,435.7,332.56,273,,,,
,21/09/20,1.00000,398.23,440.7,337.36,258,,,,
,14/09/20,1.00000,399.06,444.04,341.78,265,,,,
,07/09/20,1.00000,402.4,449.87,355.69,279,,,,
,31/08/20,1.00000,405.73,454.04,360.13,279,,,,
,24/08/20,1.00000,394.9,448.2,364.21,279,,,,
,17/08/20,1.00000,395.73,451.54,369.32,273,,,,
,10/08/20,1.00000,392.4,449.87,369.93,267,,,,
,03/08/20,1.00000,393.23,453.2,376.17,273,,,,
,27/07/20,1.00000,394.9,451.54,376.17,273,,,,
,20/07/20,1.00000,393.23,454.04,376.42,273,,,,
,13/07/20,1.00000,390.73,450.7,383.84,273,,,,
,06/07/20,1.00000,382.4,442.37,383.77,266,,,,
,29/06/20,1.00000,379.97,439.53,383.64,273,,,,
,22/06/20,1.00000,369.14,432.03,390.62,257,,,,
,15/06/20,1.00000,357.47,422.86,383.39,257,,,,
,08/06/20,1.00000,351.64,416.19,384.49,250,,,,
,01/06/20,1.00000,349.14,410.36,381.04,226,,,,
,25/05/20,1.00000,344.97,409.53,385.58,214,,,,
,18/05/20,1.00000,333.31,405.36,378.86,208,,,,
,11/05/20,1.00000,355.81,420.36,381.86,195,,,,
,04/05/20,1.00000,358.31,422.03,379.78,195,,,,
,27/04/20,1.00000,369.14,433.69,381.89,195,,,,
,20/04/20,1.00000,375.81,445.36,404.04,195,,,,
,06/04/20,1.00000,411.64,473.69,409.83,189,,,,
,30/03/20,1.00000,409.14,476.19,411.7,189,,,,
,23/03/20,1.00000,410.81,473.69,420.06,195,,,,
,16/03/20,1.00000,399.14,467.86,436.24,244,,,,
,09/03/20,1.00000,470.81,521.19,443.08,326,,,,
,02/03/20,1.00000,493.31,538.69,456.44,351,,,,
,24/02/20,1.00000,515.81,566.19,495.3,383,,,,
,17/02/20,1.00000,503.31,557.03,490.59,383,,,,
,10/02/20,1.00000,507.47,570.36,484.29,383,,,,
,03/02/20,1.00000,516.64,578.69,496.43,416,,,,
,27/01/20,1.00000,527.47,592.03,518.49,437,,,,
,20/01/20,1.00000,534.14,597.86,537.22,452,,,,
,13/01/20,1.00000,542.47,607.86,552.09,477,,,,
,06/01/20,1.00000,538.31,607.86,566.12,451,,,,
,16/12/19,1.00000,529.97,589.53,547.8,410,,,,
,09/12/19,1.00000,544.97,598.69,544.65,384,,,,
,02/12/19,1.00000,542.47,594.53,545.64,384,,,,
,25/11/19,1.00000,539.14,593.69,541.53,384,,,,
,18/11/19,1.00000,538.31,596.19,545.04,384,,,,
,11/11/19,1.00000,543.31,594.53,543.23,384,,,,
,04/11/19,1.00000,534.14,592.03,542.23,384,,,,
,28/10/19,1.00000,534.14,594.53,544.58,379,,,,
,21/10/19,1.00000,533.31,592.03,548.93,384,,,,
,14/10/19,1.00000,539.14,595.36,554.76,391,,,,
,07/10/19,1.00000,546.64,598.69,557.33,385,,,,
,30/09/19,1.00000,543.31,603.69,570.45,385,,,,
,23/09/19,1.00000,564.14,616.19,578.94,384,,,,
,16/09/19,1.00000,544.14,590.36,565.99,357,,,,
,09/09/19,1.00000,544.97,587.86,547.66,349,,,,
,02/09/19,1.00000,534.14,574.53,540.94,349,,,,
,26/08/19,1.00000,539.14,573.69,540.52,337,,,,
,19/08/19,1.00000,537.47,570.36,537.53,324,,,,
,12/08/19,1.00000,545.81,573.69,529.59,347,,,,
,05/08/19,1.00000,561.64,588.69,547.68,395,,,,
,29/07/19,1.00000,559.14,585.36,549.44,389,,,,
,22/07/19,1.00000,561.64,583.69,544.59,406,,,,
,15/07/19,1.00000,568.31,597.03,556.03,410,,,,
,08/07/19,1.00000,564.14,596.19,542.35,401,,,,
,01/07/19,1.00000,551.64,586.19,551.54,393,,,,
,24/06/19,1.00000,544.97,579.53,546.52,377,,,,
,17/06/19,1.00000,559.14,587.86,531.76,377,,,,
,10/06/19,1.00000,562.47,587.86,530.69,390,,,,
,03/06/19,1.00000,594.14,621.19,558.27,390,,,,
,27/05/19,1.00000,600.81,631.19,570.5,402,,,,
,20/05/19,1.00000,594.97,631.19,589.89,403,,,,
,13/05/19,1.00000,586.64,627.03,579.07,403,,,,
,06/05/19,1.00000,579.97,622.03,580.22,415,,,,
,29/04/19,1.00000,583.31,628.69,579.51,424,,,,
,15/04/19,1.00000,565.81,617.03,568.91,413,,,,
,08/04/19,1.00000,543.31,608.69,563.64,413,,,,
,01/04/19,1.00000,526.64,602.03,550.88,399,,,,
,25/03/19,1.00000,509.97,594.53,551.64,405,,,,
,18/03/19,1.00000,512.47,597.03,556.39,405,,,,
,11/03/19,1.00000,508.31,598.69,560.39,399,,,,
,04/03/19,1.00000,497.47,602.86,558.87,399,,,,
,25/02/19,1.00000,504.14,600.36,556.35,405,,,,
,18/02/19,1.00000,488.31,589.53,551.61,390,,,,
,11/02/19,1.00000,479.14,582.03,538.19,378,,,,
,04/02/19,1.00000,473.31,572.03,535.45,366,,,,
,28/01/19,1.00000,480.81,573.69,533.99,366,,,,
,21/01/19,1.00000,479.97,600.36,530.94,351,,,,
,14/01/19,1.00000,480.81,571.19,527.23,344,,,,
,07/01/19,1.00000,483.31,569.53,514.94,313,,,,
,17/12/18,1.00000,516.64,606.19,539.69,359,,,,
,10/12/18,1.00000,541.64,627.86,554.64,371,,,,
,03/12/18,1.00000,574.97,660.36,564.04,371,,,,
,26/11/18,1.00000,598.31,683.69,600.72,396,,,,
,19/11/18,1.00000,600.81,686.19,640.02,429,,,,
,12/11/18,1.00000,604.14,689.53,655.33,429,,,,
,05/11/18,1.00000,614.14,692.86,657.09,450,,,,
,29/10/18,1.00000,610.81,691.19,664.87,450,,,,
,22/10/18,1.00000,615.81,693.69,655.4,450,,,,
,15/10/18,1.00000,619.97,689.53,651.51,463,,,,
,08/10/18,1.00000,618.31,680.36,645.31,455,,,,
,01/10/18,1.00000,613.31,657.03,617.15,423,,,,
,24/09/18,1.00000,612.47,652.86,596.66,417,,,,
,17/09/18,1.00000,609.97,652.03,601.34,417,,,,
,10/09/18,1.00000,603.31,645.36,600.18,416,,,,
,03/09/18,1.00000,598.31,632.03,589.54,410,,,,
,27/08/18,1.00000,587.47,619.53,577.45,410,,,,
,20/08/18,1.00000,588.31,617.03,567.63,410,,,,
,13/08/18,1.00000,584.97,612.03,566.86,415,,,,
,06/08/18,1.00000,580.81,610.36,560.18,421,,,,
,30/07/18,1.00000,575.81,613.69,563.72,415,,,,
,23/07/18,1.00000,573.31,611.19,552.99,408,,,,
,16/07/18,1.00000,579.14,617.86,558.56,425,,,,
,09/07/18,1.00000,583.31,626.19,566.95,425,,,,
,02/07/18,1.00000,579.97,623.69,568.08,412,,,,
,25/06/18,1.00000,574.14,617.03,556.59,410,,,,
,18/06/18,1.00000,584.97,626.19,563.89,410,,,,
,11/06/18,1.00000,585.81,627.03,570.46,410,,,,
,04/06/18,1.00000,596.64,638.69,578.24,416,,,,
,28/05/18,1.00000,599.14,639.53,582.68,422,,,,
,21/05/18,1.00000,577.47,617.86,584.49,399,,,,
,14/05/18,1.00000,562.47,601.19,563.89,383,,,,
,07/05/18,1.00000,548.31,586.19,546.12,368,,,,
,30/04/18,1.00000,541.64,582.03,539.89,357,,,,
,23/04/18,1.00000,527.47,567.86,526.85,351,,,,
,16/04/18,1.00000,520.81,563.69,524.59,345,,,,
,09/04/18,1.00000,510.81,552.03,507.39,338,,,,
,26/03/18,1.00000,485.81,552.86,501.44,333,,,,
,19/03/18,1.00000,474.14,525.36,485.82,327,,,,
,12/03/18,1.00000,474.97,523.69,485.65,327,,,,
,05/03/18,1.00000,489.97,535.36,490.97,333,,,,
,26/02/18,1.00000,490.81,529.53,491.51,333,,,,
,19/02/18,1.00000,502.47,533.69,478.54,325,,,,
,12/02/18,1.00000,504.97,539.53,485.04,338,,,,
,05/02/18,1.00000,514.97,552.03,503.07,346,,,,
,29/01/18,1.00000,514.14,553.69,511.27,352,,,,
,22/01/18,1.00000,510.81,552.86,511.16,346,,,,
,15/01/18,1.00000,512.47,556.19,517.54,346,,,,
,08/01/18,1.00000,510.81,553.69,515.54,346,,,,
,01/01/18,1.00000,510.81,554.53,515.64,346,,,,
,18/12/17,1.00000,501.64,545.36,498.46,341,,,,
,11/12/17,1.00000,499.14,538.69,491.32,341,,,,
,04/12/17,1.00000,508.31,544.53,493.23,341,,,,
,27/11/17,1.00000,505.81,542.86,490.39,347,,,,
,20/11/17,1.00000,515.81,543.69,491.38,356,,,,
,13/11/17,1.00000,519.97,550.36,502.8,361,,,,
,06/11/17,1.00000,501.64,534.53,486.6,344,,,,
,30/10/17,1.00000,485.81,523.69,472.89,321,,,,
,23/10/17,1.00000,484.97,521.19,468.51,321,,,,
,16/10/17,1.00000,484.14,516.19,464.87,314,,,,
,09/10/17,1.00000,490.81,521.19,465.66,319,,,,
,02/10/17,1.00000,493.31,519.53,476.59,319,,,,
,25/09/17,1.00000,490.81,510.36,465.73,313,,,,
,18/09/17,1.00000,493.31,505.36,461.04,306,,,,
,11/09/17,1.00000,503.31,509.53,460.72,306,,,,
,04/09/17,1.00000,489.14,497.03,446.01,298,,,,
,28/08/17,1.00000,466.64,479.53,431.03,298,,,,
,21/08/17,1.00000,465.81,479.53,429.73,298,,,,
,14/08/17,1.00000,467.47,481.19,436.11,303,,,,
,07/08/17,1.00000,466.64,481.19,438.36,303,,,,
,31/07/17,1.00000,459.97,472.03,435.18,298,,,,
,24/07/17,1.00000,461.64,472.03,429.24,293,,,,
,17/07/17,1.00000,459.97,470.36,425.25,293,,,,
,10/07/17,1.00000,463.31,475.36,423.48,298,,,,
,03/07/17,1.00000,459.14,469.53,418.75,292,,,,
,26/06/17,1.00000,469.14,484.53,410.74,292,,,,
,19/06/17,1.00000,469.97,479.53,419.25,299,,,,
,12/06/17,1.00000,470.81,481.19,422.02,300,,,,
,05/06/17,1.00000,474.97,486.19,434.02,309,,,,
,29/05/17,1.00000,484.14,500.36,449.45,309,,,,
,22/05/17,1.00000,484.14,499.53,449.22,304,,,,
,15/05/17,1.00000,483.31,496.19,446.19,297,,,,
,08/05/17,1.00000,484.14,498.69,437.69,303,,,,
,01/05/17,1.00000,498.31,512.86,452.7,319,,,,
,24/04/17,1.00000,506.64,524.53,467.92,325,,,,
,10/04/17,1.00000,501.64,521.19,477.96,325,,,,
,03/04/17,1.00000,477.47,510.36,463.09,305,,,,
,27/03/17,1.00000,459.97,502.86,452.3,305,,,,
,20/03/17,1.00000,465.81,505.36,458.02,316,,,,
,13/03/17,1.00000,492.47,522.86,474.63,333,,,,
,06/03/17,1.00000,509.14,533.69,484.9,333,,,,
,27/02/17,1.00000,516.64,542.86,493.91,333,,,,
,20/02/17,1.00000,511.64,532.86,488.34,344,,,,
,13/02/17,1.00000,502.47,528.69,490.48,344,,,,
,06/02/17,1.00000,498.31,528.69,488.73,344,,,,
,30/01/17,1.00000,491.64,524.53,487.62,350,,,,
,23/01/17,1.00000,497.47,527.86,486.56,356,,,,
,16/01/17,1.00000,499.97,534.53,490.27,362,,,,
,09/01/17,1.00000,501.64,542.03,497.18,348,,,,
,02/01/17,1.00000,501.64,546.19,497.65,332,,,,
,19/12/16,1.00000,482.47,528.69,483.73,326,,,,
,12/12/16,1.00000,473.31,516.19,477.04,312,,,,
,05/12/16,1.00000,468.31,515.36,468.44,292,,,,
,28/11/16,1.00000,447.47,492.03,441.69,285,,,,
,21/11/16,1.00000,438.31,476.19,428.97,267,,,,
,14/11/16,1.00000,437.47,476.19,418.32,267,,,,
,07/11/16,1.00000,454.14,486.19,426.27,277,,,,
,31/10/16,1.00000,462.47,498.69,452.93,299,,,,
,24/10/16,1.00000,468.31,496.19,450.62,307,,,,
,17/10/16,1.00000,470.81,499.53,450.08,298,,,,
,10/10/16,1.00000,458.31,489.53,447.14,284,,,,
,03/10/16,1.00000,444.14,468.69,424.69,266,,,,
,26/09/16,1.00000,440.81,464.53,409.79,273,,,,
,19/09/16,1.00000,436.64,457.03,404.66,273,,,,
,12/09/16,1.00000,439.14,467.86,411.45,267,,,,
,05/09/16,1.00000,434.97,461.19,411.97,267,,,,
,29/08/16,1.00000,429.97,460.36,417.85,267,,,,
,22/08/16,1.00000,434.97,461.19,418.94,259,,,,
,15/08/16,1.00000,416.64,437.86,404.57,244,,,,
,08/08/16,1.00000,417.47,434.53,378.07,238,,,,
,01/08/16,1.00000,421.64,447.86,385.39,255,,,,
,25/07/16,1.00000,435.81,463.69,395.74,255,,,,
,18/07/16,1.00000,437.47,461.19,402.07,255,,,,
,11/07/16,1.00000,449.97,463.69,409.19,263,,,,
,04/07/16,1.00000,466.64,478.69,420.24,275,,,,
,27/06/16,1.00000,468.31,475.36,422.32,264,,,,
,20/06/16,1.00000,463.31,473.69,421.94,264,,,,
,13/06/16,1.00000,466.64,480.36,433.02,258,,,,
,06/06/16,1.00000,476.64,482.03,431.7,244,,,,
,30/05/16,1.00000,474.14,480.36,427.86,238,,,,
,23/05/16,1.00000,454.97,459.53,420.2,238,,,,
,16/05/16,1.00000,446.64,449.53,411.46,216,,,,
,09/05/16,1.00000,444.14,443.69,397.01,216,,,,
,02/05/16,1.00000,454.14,450.36,406.51,216,,,,
,25/04/16,1.00000,439.97,439.53,389.87,199,,,,
,18/04/16,1.00000,422.47,413.69,370.6,199,,,,
,11/04/16,1.00000,412.47,402.03,358.5,179,,,,
,04/04/16,1.00000,408.31,408.69,358.89,193,,,,
,21/03/16,1.00000,386.64,413.69,373.27,193,,,,
,14/03/16,1.00000,387.47,409.53,373.71,191,,,,
,07/03/16,1.00000,371.64,387.86,358.08,176,,,,
,29/02/16,1.00000,370.81,382.03,344.54,171,,,,
,22/02/16,1.00000,375.81,384.53,339.44,171,,,,
,15/02/16,1.00000,369.97,372.03,331.05,171,,,,
,08/02/16,1.00000,382.47,380.36,337.09,178,,,,
,01/02/16,1.00000,387.47,376.19,337.01,172,,,,
,25/01/16,1.00000,384.97,370.36,321.67,146,,,,
,18/01/16,1.00000,392.47,385.36,329.3,165,,,,
,11/01/16,1.00000,413.31,407.86,346.26,175,,,,
,04/01/16,1.00000,418.31,412.86,363.64,176,,,,
,14/12/15,1.00000,431.64,440.36,376.79,225,,,,
,07/12/15,1.00000,446.64,457.86,413.09,225,,,,
,30/11/15,1.00000,456.64,482.03,435.42,225,,,,
,23/11/15,1.00000,451.64,482.03,434.9,219,,,,
,16/11/15,1.00000,466.64,490.36,440.04,233,,,,
,09/11/15,1.00000,459.97,489.53,453.75,247,,,,
,02/11/15,1.00000,442.47,478.69,448.6,240,,,,
,26/10/15,1.00000,430.81,463.69,445.45,240,,,,
,19/10/15,1.00000,443.31,475.36,449.13,245,,,,
,12/10/15,1.00000,463.31,492.03,466.31,247,,,,
,05/10/15,1.00000,457.47,482.86,460.35,238,,,,
,28/09/15,1.00000,470.81,487.03,464.54,238,,,,
,21/09/15,1.00000,473.31,484.53,457.75,238,,,,
,14/09/15,1.00000,484.14,492.03,460.81,252,,,,
,07/09/15,1.00000,489.97,493.69,466.19,256,,,,
,31/08/15,1.00000,492.47,477.86,457.74,223,,,,
,24/08/15,1.00000,509.97,487.86,441.04,252,,,,
,17/08/15,1.00000,531.64,496.19,453.57,271,,,,
,10/08/15,1.00000,558.31,504.53,454.15,298,,,,
,03/08/15,1.00000,564.14,517.03,470.38,298,,,,
,27/07/15,1.00000,578.31,532.86,482.88,313,,,,
,20/07/15,1.00000,584.14,539.53,491.04,313,,,,
,13/07/15,1.00000,594.14,550.36,503.25,319,,,,
,06/07/15,1.00000,584.97,567.86,518.06,335,,,,
,29/06/15,1.00000,578.31,568.69,524.95,335,,,,
,22/06/15,1.00000,582.47,572.03,520.98,340,,,,
,15/06/15,1.00000,587.47,581.19,532.96,335,,,,
,08/06/15,1.00000,574.14,580.36,532.42,350,,,,
,01/06/15,1.00000,569.14,580.36,544.99,350,,,,
,25/05/15,1.00000,569.97,584.53,547.21,350,,,,
,18/05/15,1.00000,551.64,571.19,544.82,357,,,,
,11/05/15,1.00000,564.14,580.36,545.01,357,,,,
,04/05/15,1.00000,559.97,577.03,541.03,357,,,,
,27/04/15,1.00000,564.14,580.36,541.23,351,,,,
,20/04/15,1.00000,552.47,571.19,530.99,332,,,,
,13/04/15,1.00000,525.81,544.53,511.54,310,,,,
,30/03/15,1.00000,533.31,551.19,514.86,310,,,,
,23/03/15,1.00000,519.14,548.69,506.89,316,,,,
,16/03/15,1.00000,523.31,564.53,519.97,322,,,,
,09/03/15,1.00000,515.81,572.03,531.58,322,,,,
,02/03/15,1.00000,503.31,573.69,534.53,322,,,,
,23/02/15,1.00000,492.47,560.36,531.92,328,,,,
,16/02/15,1.00000,482.47,547.03,527.34,312,,,,
,09/02/15,1.00000,467.47,527.86,505.86,282,,,,
,02/02/15,1.00000,436.64,499.53,456.43,258,,,,
,26/01/15,1.00000,433.31,492.03,454.97,252,,,,
,19/01/15,1.00000,430.81,488.69,447.59,252,,,,
,12/01/15,1.00000,446.64,512.03,460.37,257,,,,
,05/01/15,1.00000,479.14,543.69,480.69,278,,,,
,15/12/14,1.00000,499.14,563.69,497.75,327,,,,
,08/12/14,1.00000,524.14,584.53,528.13,351,,,,
,01/12/14,1.00000,569.97,609.53,548.15,378,,,,
